,company
1,Twentieth Century Fox
3,Warner Bros.
5,Paramount Pictures
6,Roadside Attractions
22,Alibaba Pictures
34,Skydance Media
49,Universal Pictures
67,Magnolia Pictures
83,Lionsgate
84,Metro-Goldwyn-Mayer (MGM)
85,Tribeca Productions
95,Pixar Animation Studios
99,Columbia Pictures
103,Walt Disney Pictures
114,Fox Searchlight Pictures
120,Amazon Studios
123,Marvel Studios
126,A24
132,Orion Pictures
133,Walt Disney Animation Studios
138,Porchlight Films
139,Warner Bros. Pictures
159,Canal+
161,DreamWorks
171,Sony Pictures Animation
175,Millennium Films
181,DreamWorks Animation
190,Paramount Animation
210,BBC Films
223,Fox 2000 Pictures
292,New Line Cinema
332,Gravitas Ventures
416,DC Comics
419,StudioCanal
433,Focus Features
462,Lucasfilm
490,Bad Robot
498,Sony Pictures Entertainment (SPE)
612,Shoreline Entertainment
740,Warner Bros. Animation
774,Hulu
928,Relativity Media
941,Dimension Films
1011,DC Entertainment
1151,Bandai
1178,Gravity Pictures
1195,20th Century Fox
1370,United Entertainment Partners
1371,2929 Productions
1373,Warren Miller Entertainment
1375,Village Roadshow Pictures
1376,Imagine Entertainment
1382,Atlas Entertainment
1400,TriStar Pictures
1406,Lionsgate Premiere
1412,Netflix
1417,Summit Premiere
1464,Amblin Partners
1471,The Weinstein Company
1544,Creative Artists Agency (CAA)
1676,Zeitgeist Films
1723,Sony Pictures Classics
1781,IFC Films
1792,Scion Pictures
1851,A+E Studios
1928,Sundance Selects
1968,Castle Rock Entertainment
2006,Walt Disney Studios Motion Pictures
2017,Universal Pictures International (UPI)
2018,United Artists Releasing
2023,Disney-ABC Home Entertainment & Television Distribution
2031,Walt Disney Studios
2038,Sony Pictures Releasing
2055,Focus Features International (FFI)
2059,Metro-Goldwyn-Mayer Distributing Corporation (MGM)
2071,Lionsgate Home Entertainment
2072,IFC Midnight
2120,The Orchard
2136,Lions Gate International
2148,Disney Media Distribution (DMD)
2160,Arclight Films
2162,Orion Classics
2172,AMC Theatres
2193,Sony Pictures Home Entertainment
2255,Sony Pictures Releasing International
2259,Universal Pictures Home Entertainment (UPHE)
2340,FilmBuff
2360,Relativity International
2423,Reliance Big Pictures
2446,Kaleidoscope Film Distribution
2463,Universal Pictures International Entertainment (UPIE)
2471,Universal Pictures International Production (UPIP)