,director
0,Edward Norton
1,Robert Rodriguez
33,Ang Lee
84,Martin Scorsese
103,Roman Polanski
105,J.J. Abrams
115,Brian De Palma
120,Clint Eastwood
167,Terrence Malick
190,Jon Favreau
193,Guy Ritchie
216,Tim Miller
221,Kevin Smith
232,M. Night Shyamalan
234,Jordan Peele
241,Ron Howard
247,Tyler Perry
253,Quentin Tarantino
258,Todd Phillips
309,Danny Boyle
347,Sam Mendes
358,Jim Jarmusch
483,Steven Spielberg
524,Robert Zemeckis
608,Wes Anderson
680,Jean-Luc Godard
880,Steven Soderbergh
903,Spike Lee
971,Peter Jackson
1066,Errol Morris
1068,Werner Herzog
1114,Dax Shepard
1162,Luc Besson
1166,Ridley Scott
1195,Michael Bay
1244,Chris McKay
1251,Aaron Sorkin
1307,Christopher Nolan
1318,Darren Aronofsky
1352,Kathryn Bigelow
1372,Rob Reiner
1376,Guillermo del Toro
1380,Sofia Coppola
1419,Paul Thomas Anderson
1432,Woody Allen
1565,Judd Apatow
1685,Ethan Coen
1707,Ben Stiller
1722,Tim Burton
1730,Mel Gibson
1833,Oliver Stone
2177,George Miller
2206,Neill Blomkamp
2264,Seth MacFarlane